path	sourcePackage	sourceVersion	ownershipCommit
usr/bin/msys-hx509-5.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-iconv-2.dll	libiconv	1.19-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-idn2-0.dll	libidn2	2.3.8-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-intl-8.dll	libintl	0.22.5-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-krb5-26.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-ksba-8.dll	libksba	1.8.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-lz4-1.dll	liblz4	1.10.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-lzma-5.dll	liblzma	5.8.3-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-magic-1.dll	file	5.48-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-mpfr-6.dll	mpfr	4.2.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-ncursesw6.dll	ncurses	6.6-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-nettle-9.dll	libnettle	4.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-npth-0.dll	libnpth	1.8-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-p11-kit-0.dll	libp11-kit	0.26.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-pcre-1.dll	libpcre	8.45-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-pcre2-8-0.dll	libpcre2_8	10.47-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-perl5_42.dll	perl	5.42.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-psl-5.dll	libpsl	0.21.5-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-readline8.dll	libreadline	8.3.003-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-roken-18.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-sasl2-3.dll	libsasl	2.1.28-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-serf-1-0.dll	libserf	1.3.10-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-smartcols-1.dll	libutil-linux	2.40.2-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-sqlite3-0.dll	libsqlite	3.53.3-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-ssl-3.dll	libopenssl	3.5.7-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_client-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_delta-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_diff-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_fs-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_fs_fs-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_fs_util-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_fs_x-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_ra-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_ra_local-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_ra_serf-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_ra_svn-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_repos-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_subr-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_swig_perl-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-svn_wc-1-0.dll	subversion	1.14.5-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-tasn1-6.dll	libtasn1	4.21.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-ticw6.dll	ncurses	6.6-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-unistring-5.dll	libunistring	1.4.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
